,Brand,ARAI Mileage,Fuel Type,Engine Displacement (cc),No. of cylinder,Max Power (bhp@rpm),Max Torque (nm@rpm),Seating Capacity,TransmissionType,Boot Space (Litres),Fuel Tank Capacity,Body Type,Power Steering,Power Windows Front,Anti Lock Braking System,Air Conditioner,Driver Airbag,Passenger Airbag,Automatic Climate Control,Fog Lights - Front,Alloy Wheels,Price,Multi-function Steering Wheel,Service Cost (Avg. of 5 years),Ground Clearance Unladen,Engine Start Stop Button,Wheel Covers,Secondary Fuel Type,City Mileage,Charging time,Battery Capacity,Range,WLTP Mileage
93,Audi A4,,Petrol,1998,4,187.74bhp@4200-6000rpm,320Nm@1450–4200rpm,5,Automatic,460,54.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.43.85 - 51.85 Lakh*Get On Road Price,Yes,,,,,,,,,,
94,Audi Q7,,Petrol,2995,6,335.25bhp@5200-6400rpm,500Nm@1370-4500,7,Automatic,,,SUV,Yes,Yes,,Yes,Yes,,,Yes,Yes,Rs.84.70 - 92.30 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
95,Audi Q3,,Petrol,1984,4,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,5,Automatic,530,62.4,SUV,Yes,Yes,,Yes,,,,Yes,Yes,Rs.45.65 - 51.24 Lakh*Get On Road Price,Yes,,,,,,,,,,
96,Audi e-tron,,,,,300kWbhp,664Nm,5,,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.1.02 - 1.26 Cr*Get On Road Price,,,,,,,,,95 kwh,359-484 km,
97,Audi e-tron GT,,,,,522.99kWbhp,630Nm,5,,,,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.1.70 Cr*Get On Road Price,Yes,,,,,,,5:15 Hours,93.4kWh,388-500km,
98,Audi Q8,9.8 kmpl,Petrol,2995,4,340bhp@5000-6400rpm,500Nm@1370-4500rpm,5,Automatic,605,85.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.1.07 - 1.43 Cr*Get On Road Price,,,,,,,,,,,
99,Audi RS e-tron GT,,,,,636.98bhp,830Nm,5,,,,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.1.94 Cr*Get On Road Price,Yes,,,Yes,,,,5:15 Hours,93.4kWh,401-481km,
100,Audi A8 L,,Petrol,2995,6,335.25bhp@5000-6400rpm,500Nm@1370-4500rpm,5,Automatic,505,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.34 - 1.63 Cr*Get On Road Price,Yes,,,,,,,,,,
101,Audi Q3 Sportback,,Petrol,1984,4,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.52.26 Lakh*Get On Road Price,Yes,,,,,,,,,,
102,Audi RS Q8,,Petrol,3998,8,591.39bhp@6000rpm,800Nm@2200-4500rpm,5,Automatic,,85.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.2.22 Cr*Get On Road Price,Yes,,,,,,,,,,8.26 kmpl
103,Audi S5 Sportback,,Petrol,2994,6,348.66bhp@5400-6400rpm,500Nm@1370-4500rpm,5,Automatic,465,58.0,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.75.74 Lakh*Get On Road Price,Yes,,,,,,,,,,10.6 kmpl
104,Mercedes-Benz E-Class,,Diesel,2925,6,281.61bhp@3400-4600rpm,600Nm@1200-3200rpm,5,Automatic,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.75 - 88 Lakh*Get On Road Price,,,,,,,,,,,
105,Mercedes-Benz S-Class,13.38 kmpl,Diesel,2925,6,325.86bhp@3600-4200bhp,700Nm@1200-3200rpm,5,Automatic,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.1.71 - 2.17 Cr*Get On Road Price,,,,,,,,,,,
106,Mercedes-Benz GLC,,Diesel,1998,4,194bhp@3800rpm,400nm@2800rpm,5,Automatic,550,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.73.50 - 74.50 Lakh*Get On Road Price,Yes,,,,,,,,,,19.4 kmpl
107,Mercedes-Benz GLS,,Petrol,3982,8,549.81bhp6000-6500rpm,730Nm@2500-4500rpm,"4, 7",Automatic,,90.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.29 - 2.92 Cr*Get On Road Price,Yes,,,,,,,,,,
108,Mercedes-Benz GLE,9.7 kmpl,Diesel,2925,6,325.8bhp@3600-4000rpm,700Nm@1200-3000rpm,5,Automatic,825,93.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.90 Lakh - 1.08 Cr*Get On Road Price,Yes,,200 mm,,,,,,,,
109,Mercedes-Benz EQS,,,,,750.97bhp,1020Nm,5,,,,Sedan,,,,,,,,Yes,,Rs.1.59 - 2.45 Cr*Get On Road Price,Yes,,,,,,,,107.8kwh,526-580km,
110,Mercedes-Benz AMG SL,,Petrol,3982,8,469.35bhp,700Nm,4,Automatic,,,Convertible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Rs.2.35 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
111,Mercedes-Benz GLB,,Diesel,1998,4,187.74bhp@3800rpm,400Nm@1600-2600rpm,7,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.63.80 - 69.80 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
112,Mercedes-Benz Maybach S-Class,,Petrol,5980,12,603.46bhp@5250-5500,900Nm@2000-4000rpm,4,Automatic,,,Sedan,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.2.69 - 3.40 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
113,Mercedes-Benz GLC Coupe,16.34 kmpl,Diesel,1950,4,241.38bhp@4200rpm,500Nm@1600-2400rpm,5,Automatic,,66.0,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.72.50 - 73.50 Lakh*Get On Road Price,,,,,,,,,,,
114,Mercedes-Benz G-Class,,Diesel,2925,6,325.86bhp@3600-4200rpm,700Nm@1200-3200rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.2.55 Cr*Get On Road Price,,,,,,,,,,,
115,Mercedes-Benz A-Class Limousine,,Petrol,1332,4,160.92bhp@5500rpm,250Nm@1620-4000rpm,5,Automatic,,66.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.45.80 Lakh*Get On Road Price,,,,,,,,,,,
116,Mercedes-Benz AMG A 45 S,,Petrol,1991,4,415.71bhp@6750rpm,500Nm@5000-5250rpm,5,Automatic,,51.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.92.50 Lakh*Get On Road Price,Yes,,2729mm,Yes,,,,,,,
117,Mercedes-Benz AMG GLE 53,,Petrol,2999,6,435bhp@5500-6100rpm,520Nm@1800-5800rpm,5,Automatic,,85.0,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.71 Cr*Get On Road Price,Yes,,,,,,,,,,
118,Mercedes-Benz EQB,,,,,225.29bhp,390Nm,7,,1710,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.77.50 Lakh*Get On Road Price,Yes,,,,,,,6.25 Hours,66.5Kwh,423km,
119,Mercedes-Benz AMG GLC 43,,Petrol,2996,6,384.87bhp@5500–6100rpm,520Nm@2500-5000rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.87 Lakh*Get On Road Price,Yes,,,,,,,,,,
120,Mercedes-Benz AMG A 35,,Petrol,1991,4,301.73bhp@5800rpm,400Nm@3000-4000rpm,5,Automatic,,51.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.58 Lakh*Get On Road Price,Yes,,,,,,,,,,
121,Mercedes-Benz AMG E 53 Cabriolet,,Petrol,2998,6,424.71bhp@6100rpm,520.63Nm@1800-5800rpm,4,Automatic,269.01,,Convertible,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.1.30 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
122,Mercedes-Benz AMG GLA 35,,Petrol,1991,4,301.73bhp@5800rpm,400Nm@3000-4000rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.63.50 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
123,Mercedes-Benz AMG GT 4 Door Coupe,,Petrol,3982,8,630.28bhp@5500-6500rpm,900Nm@2500-4500rpm,5,Automatic,,,Coupe,,,No,,No,No,,,Yes,Rs.3.30 Cr*Get On Road Price,,,,,,,,,,,
124,Jaguar F-Pace,,Diesel,1997,4,201.15bhp@3750rpm,430Nm@1750-2500rpm,5,Automatic,755,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.77.41 Lakh*Get On Road Price,Yes,,,,,,,,,,19.3 kmpl
125,Jaguar F-TYPE,,Petrol,5000,8,443.8bhp@6000rpm,580Nm@2500-500rpm,2,Automatic,233,70.0,Coupe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.99.98 Lakh - 1.53 Cr*Get On Road Price,,,100mm,,,,,,,,
126,Jaguar I-Pace,,,,,394.26bhp,696Nm,5,,656s,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.20 - 1.24 Cr*Get On Road Price,Yes,,174mm,,,,,8.58,90 kWh,446 Upto,
127,Land Rover Range Rover,,Petrol,4367,8,523@5500rpm,750Nm@1800rpm,7,Automatic,,,SUV,Yes,Yes,,Yes,,,,Yes,Yes,Rs.2.39 - 4.17 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
128,Land Rover Defender,14.01 kmpl,Petrol,4997,6,296.36bhp@4000rpm,650Nm@1500-2500rpm,"5, 6, 7",Automatic,397,89.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.93.55 Lakh - 2.30 Cr*Get On Road Price,Yes,,,,,,,,,,
129,Land Rover Range Rover Evoque,,Diesel,1997,4,246.74bhp@5500rpm,430Nm@1750-2500rpm,5,Automatic,472,66.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.72.09 Lakh*Get On Road Price,Yes,,212mm,,,,,,,,
130,Land Rover Range Rover Velar,,Petrol,1997,4,246.74bhp@5500rpm,365Nm@1500-4000rpm,5,Automatic,748,82.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.93 Lakh*Get On Road Price,Yes,,,,,,,,,,
131,Volvo XC90,17.2 kmpl,Petrol,1969,4,300bhp,420Nm,7,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.98.50 Lakh*Get On Road Price,Yes,,223mm,,,,,,,,
132,Volvo XC40,12.18 kmpl,Petrol,1969,4,197bhp,300Nm,5,Automatic,452,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.46.40 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
133,Volvo S90,,Petrol,1969,4,246.58bhp,350Nm,5,Automatic,461,60.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.67.90 Lakh*Get On Road Price,,,,,,,,,,,
134,Volvo XC40 Recharge,,,,,408bhp,660Nm,5,,414,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.56.90 Lakh*Get On Road Price,Yes,,,,,,,,78Kwh,418,
135,Mitsubishi Montero 2007-2012,11.56 kmpl,Diesel,3200,4,199.3bhp@3800rpm,441Nm@2000rpm,7,Automatic,,88.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.40.50 - 41.34 Lakh*,,,235mm,,,,8.25 kmpl,,,,
136,Mitsubishi Montero 2009-2014,11.56 kmpl,Diesel,3200,4,199.3bhp@3800rpm,441Nm@2000rpm,7,Automatic,,88.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.41.34 Lakh*,,,235mm,,,,8.25 kmpl,,,,
137,Mitsubishi Outlander 2007-2013,11.3 kmpl,Petrol,2360,4,170PS @ 6000rpm,226Nm @ 4100rpm,5,Automatic,,88.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.20.25 - 20.55 Lakh*,,,215 mm,,,,8.2 kmpl,,,,
138,Mitsubishi Pajero 2002-2012,9.5 kmpl,Diesel,2835,4,118.6@4000 (PS@rpm),29.8@2000 (kgm@rpm),6,Manual,,92.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.18.81 - 22 Lakh*,,,190mm,,No,,6.5 kmpl,,,,
139,Jeep Compass,14.9 kmpl,Diesel,1956,4,167.67bhp@3750rpm,350Nm@1750-2500rpm,5,Automatic,,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.21.73 - 32.07 Lakh*Get On Road Price,Yes,,,,,,,,,,
140,Jeep Wrangler,12.1 kmpl,Petrol,1998,4,268bhp@5250rpm,400Nm@3000rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.60.65 - 64.65 Lakh*Get On Road Price,Yes,,217mm,,,,,,,,
141,Jeep Meridian,,Diesel,1956,4,172.35bhp@3750rpm,350Nm@1750-2500rpm,7,Automatic,,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.33.40 - 38.61 Lakh*Get On Road Price,Yes,,,,,,,,,,
142,Jeep Grand Cherokee,,Petrol,1995,4,268.27bhp@5200rpm,400Nm@3000rpm,5,Automatic,,87.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.80.50 Lakh*Get On Road Price,,,,,,,,,,,
